Municipios;Edad (grupos quinquenales);Sexo;Periodo;Total
44001 Ababuj;Todas las edades;Total;1 de enero de 2022;72
40001 Abades;Todas las edades;Total;1 de enero de 2022;839
10001 Abadía;Todas las edades;Total;1 de enero de 2022;340
27001 Abadín;Todas las edades;Total;1 de enero de 2022;2.259
48001 Abadiño;Todas las edades;Total;1 de enero de 2022;7.708
31001 Abáigar;Todas las edades;Total;1 de enero de 2022;80
09001 Abajas;Todas las edades;Total;1 de enero de 2022;29
26001 Ábalos;Todas las edades;Total;1 de enero de 2022;260
20001 Abaltzisketa;Todas las edades;Total;1 de enero de 2022;309
19001 Abánades;Todas las edades;Total;1 de enero de 2022;61
30001 Abanilla;Todas las edades;Total;1 de enero de 2022;6.146
50001 Abanto;Todas las edades;Total;1 de enero de 2022;89
48002 Abanto y Ciérvana-Abanto Zierbena;Todas las edades;Total;1 de enero de 2022;9.369
30002 Abarán;Todas las edades;Total;1 de enero de 2022;12.992
34001 Abarca de Campos;Todas las edades;Total;1 de enero de 2022;43
31002 Abárzuza/Abartzuza;Todas las edades;Total;1 de enero de 2022;527
31003 Abaurregaina/Abaurrea Alta;Todas las edades;Total;1 de enero de 2022;120
31004 Abaurrepea/Abaurrea Baja;Todas las edades;Total;1 de enero de 2022;31
15001 Abegondo;Todas las edades;Total;1 de enero de 2022;5.534
42001 Abejar;Todas las edades;Total;1 de enero de 2022;273
44002 Abejuela;Todas las edades;Total;1 de enero de 2022;56
25001 Abella de la Conca;Todas las edades;Total;1 de enero de 2022;167
02001 Abengibre;Todas las edades;Total;1 de enero de 2022;739
13001 Abenójar;Todas las edades;Total;1 de enero de 2022;1.314
31005 Aberin;Todas las edades;Total;1 de enero de 2022;371
10002 Abertura;Todas las edades;Total;1 de enero de 2022;388
49002 Abezames;Todas las edades;Total;1 de enero de 2022;65
16001 Abia de la Obispalía;Todas las edades;Total;1 de enero de 2022;60
34003 Abia de las Torres;Todas las edades;Total;1 de enero de 2022;169
22001 Abiego;Todas las edades;Total;1 de enero de 2022;278
22002 Abizanda;Todas las edades;Total;1 de enero de 2022;151
04001 Abla;Todas las edades;Total;1 de enero de 2022;1.247
19002 Ablanque;Todas las edades;Total;1 de enero de 2022;63
31006 Ablitas;Todas las edades;Total;1 de enero de 2022;2.557
08001 Abrera;Todas las edades;Total;1 de enero de 2022;12.697
04002 Abrucena;Todas las edades;Total;1 de enero de 2022;1.221
37001 Abusejo;Todas las edades;Total;1 de enero de 2022;161
28001 Acebeda, La;Todas las edades;Total;1 de enero de 2022;62
24001 Acebedo;Todas las edades;Total;1 de enero de 2022;185
10003 Acebo;Todas las edades;Total;1 de enero de 2022;542
16002 Acebrón, El;Todas las edades;Total;1 de enero de 2022;231
06001 Acedera;Todas las edades;Total;1 de enero de 2022;816
10004 Acehúche;Todas las edades;Total;1 de enero de 2022;816
10005 Aceituna;Todas las edades;Total;1 de enero de 2022;588
50002 Acered;Todas las edades;Total;1 de enero de 2022;138
06002 Aceuchal;Todas las edades;Total;1 de enero de 2022;5.456
22003 Adahuesca;Todas las edades;Total;1 de enero de 2022;204
47001 Adalia;Todas las edades;Total;1 de enero de 2022;54
14001 Adamuz;Todas las edades;Total;1 de enero de 2022;4.125
05001 Adanero;Todas las edades;Total;1 de enero de 2022;214
38001 Adeje;Todas las edades;Total;1 de enero de 2022;49.270
